DrugBank ID,Name,CAS Number,Drug Type,KEGG Compound ID,KEGG Drug ID,PubChem Compound ID,PubChem Substance ID,ChEBI ID,PharmGKB ID,HET ID,UniProt ID,UniProt Title,GenBank ID,DPD ID,RxList Link,Pdrhealth Link,Wikipedia ID,Drugs.com Link,NDC ID,ChemSpider ID,BindingDB ID,TTD ID
DB00033,Interferon gamma-1b,98059-61-1,BiotechDrug,,,,46507194,,PA164746386,,P01579,IFNG_HUMAN,X13274,"",,,Interferon_gamma-1b,http://www.drugs.com/cdi/interferon-gamma-1b.html,,,,DAP001286
DB00034,"Interferon Alfa-2a, Recombinant",76543-88-9,BiotechDrug,,,,46506712,,PA164779048,,P01563,IFNA2_HUMAN,J00207,1746,http://www.rxlist.com/cgi/generic3/roferon.htm,,"Interferon_Alfa-2a,_Recombinant",http://www.drugs.com/cdi/interferon-alfa-2a-solution.html,,,,DAP000801
DB00035,Desmopressin,16679-58-6,SmallMoleculeDrug,C06944,D00291,,,4450,PA449237,,,,,2155; 19910; 20181,http://www.rxlist.com/cgi/generic3/desmoprt.htm,,Desmopressin,http://www.drugs.com/cdi/desmopressin.html,,10481973,50205291,DNC000526
DB00036,Coagulation factor VIIa Recombinant Human,102786-61-8,BiotechDrug,C03378,D00172,,46507544,,PA164748389,,P08709,FA7_HUMAN,M13232,13301,http://www.rxlist.com/cgi/generic3/novoseven.htm,,Factor_VII,http://www.drugs.com/cdi/coagulation-factor-viia-recombinant.html,,,,
DB00038,Oprelvekin,145941-26-0,BiotechDrug,,,,46506470,,PA164747991,,P20809,IL11_HUMAN,M57765,"",http://www.rxlist.com/cgi/generic3/oprelvek.htm,,Oprelvekin,http://www.drugs.com/cdi/oprelvekin.html,,,,DAP001287
DB00039,Palifermin,162394-19-6,BiotechDrug,,,,46506691,,PA164744014,,P21781,FGF7_HUMAN,M60828,17147,http://www.rxlist.com/cgi/generic/kepivance.htm,,Palifermin,http://www.drugs.com/cdi/palifermin.html,,,,DAP001026
DB00040,Glucagon,16941-32-5,BiotechDrug,C01501,D00116,,46504732,,PA164779052,,Q8MJ25,GLUC_SHEEP,AF529185,12072; 11363,http://www.rxlist.com/cgi/generic2/gluca.htm,,Glucagon_recombinant,http://www.drugs.com/cdi/glucagon.html,,,,DAP001037
DB00041,Aldesleukin,110942-02-4,BiotechDrug,,,,46508054,,PA448081,,P60569,IL2_HYLLA,M11144,278,http://www.rxlist.com/cgi/generic2/aldesleukin.htm,,Aldesleukin,http://www.drugs.com/cdi/aldesleukin.html,,,,DAP001099
DB00042,Botulinum Toxin Type B,93384-44-2,BiotechDrug,,D02735,,46504750,,PA164747061,,P10844,BXB_CLOBO,M81186,12854,http://www.rxlist.com/cgi/generic/botulinumtoxin.htm,,Botulinum_toxin,http://www.drugs.com/cdi/botulinum-toxin-type-b.html,,,,DAP001272
DB00043,Omalizumab,242138-07-4,BiotechDrug,,,,46507002,,PA164752253,,P01857,IGHG1_HUMAN,J00228,13365,http://www.rxlist.com/cgi/generic/xolair.htm,,Omalizumab,http://www.drugs.com/cdi/omalizumab.html,,,,DAP000387
DB00044,Lutropin alfa,152923-57-4,BiotechDrug,,,,46507624,,PA164750539,,P01229,LSHB_HUMAN,X00264,15875; 7347,,,Lutropin_alfa,http://www.drugs.com/cdi/lutropin-alfa.html,,,,DAP001103
DB00045,Lyme disease vaccine (recombinant OspA),,BiotechDrug,,,,46504444,,PA164743058,,P14013,OSPA1_BORBU,X16467,"",,,,,,,,DAP001334
DB00046,Insulin Lispro,133107-64-9,BiotechDrug,,D04477,,46507498,,PA164747059,,,,,11115; 12028,http://www.rxlist.com/cgi/generic/insulinlispro.htm,,Insulin_lispro,http://www.drugs.com/mtm/insulin-lispro.html,,,,DNC000800
DB00047,Insulin glargine,160337-95-1,BiotechDrug,,D03250,,46507981,,PA449992,,,,,12724,http://www.rxlist.com/cgi/generic2/lantus.htm,,Insulin_glargine,http://www.drugs.com/cdi/insulin-glargine-cartridge-systems.html,,,,DAP001088
DB00048,Collagenase clostridium histolyticum,9001-12-1,BiotechDrug,C00816,,,46506485,,PA449107,,,,,21378,http://www.rxlist.com/cgi/generic3/collagenase.htm,,Collagenase,http://www.drugs.com/cdi/collagenase-ointment.html,,,,DAP000965
DB00049,Rasburicase,134774-45-1,BiotechDrug,,,,46504490,,PA10176,,Q00511,URIC_ASPFL,X61766,13268,http://www.rxlist.com/cgi/generic3/elitek.htm,,Rasburicase,http://www.drugs.com/cdi/rasburicase.html,,,,
DB00050,Cetrorelix,120287-85-6,SmallMoleculeDrug,,D01685,25074887,46505494,59224,PA164764506,,,,,13224,http://www.rxlist.com/cgi/generic2/cetrorelix.htm,,Cetrorelix,http://www.drugs.com/cdi/cetrorelix-acetate.html,,10482082,50369965,DAP000096
DB00051,Adalimumab,331731-18-1,BiotechDrug,,D02597,,46504982,,PA10004,,P01857,IGHG1_HUMAN,J00228,13356,http://www.rxlist.com/cgi/generic3/humira.htm,,Adalimumab,http://www.drugs.com/cdi/adalimumab.html,,,,DAP000392
DB00052,Somatotropin,12629-01-5,BiotechDrug,,,,46506010,,PA451446,,P58756,SOMA_PANTR,AF374232,7364,http://www.rxlist.com/cgi/generic3/nutropin.htm,,Somatropin_recombinant,http://www.drugs.com/cdi/somatropin-rdna-origin-nonrefrigerated.html,,,,DAP001054
DB00053,Imiglucerase,154248-97-2,BiotechDrug,,D02810,,46508744,,PA164742934,,P04062,GLCM_HUMAN,M16328,11365,http://www.rxlist.com/cgi/generic2/imiglucerase.htm,,Imiglucerase,http://www.drugs.com/cdi/imiglucerase.html,,,,
DB00054,Abciximab,143653-53-6,BiotechDrug,,D02778,,46505910,,PA448006,,,,,61,http://www.rxlist.com/reopro-drug.htm,,Abciximab,http://www.drugs.com/cdi/abciximab.html,,,,DAP000473
DB00055,Drotrecogin alfa,98530-76-8,BiotechDrug,,,,46505655,,PA131548935,,P04070,PROC_HUMAN,M11228,12084,http://www.rxlist.com/cgi/generic/drotrecogin.htm,,Drotrecogin_alfa,http://www.drugs.com/cdi/drotrecogin-alfa.html,,,,DAP000151
DB00056,Gemtuzumab ozogamicin,220578-59-6,BiotechDrug,,,,46505767,,PA164749431,,,,,"",http://www.rxlist.com/cgi/generic2/gemtuzumab.htm,,Gemtuzumab_ozogamicin,http://www.drugs.com/cdi/gemtuzumab-ozogamicin.html,,,,DAP000390
DB00058,Alpha-1-proteinase inhibitor,9041-92-3,BiotechDrug,,,,46506364,,PA10308,,P01009,A1AT_HUMAN,K01396,7762,http://www.rxlist.com/cgi/generic3/zemaira.htm,,Alpha_1-antitrypsin,,,,,DAP001102
DB00059,Pegaspargase,130167-69-0,BiotechDrug,,,,46505366,,PA164760860,,P37595,ASGX_ECOLI,U00096,11706,http://www.rxlist.com/cgi/generic2/pegaspargase.htm,,Pegaspargase,http://www.drugs.com/cdi/pegaspargase.html,,,,
DB00060,Interferon beta-1a,145258-61-3,BiotechDrug,,,,46504899,,PA450037,,P01574,IFNB_HUMAN,V00534,11746,http://www.rxlist.com/cgi/generic3/rebif.htm,,Interferon_beta-1a,http://www.drugs.com/cdi/interferon-beta-1a.html,,,,DAP001282
DB00061,Pegademase,130167-68-9,BiotechDrug,,,,46508490,,PA450831,,P56658,ADA_BOVIN,AF280603,"",http://www.rxlist.com/cgi/generic2/pegademase.htm,,Pegademase_bovine,http://www.drugs.com/cdi/pegademase-bovine.html,,,,
DB00062,Human Serum Albumin,9048-46-8,BiotechDrug,,,,46509098,,PA164743293,,P02768,ALBU_HUMAN,M12523,7867; 3275,http://www.rxlist.com/cgi/generic3/albumin.htm,,Serum_albumin,,,,,
DB00063,Eptifibatide,188627-80-7,BiotechDrug,,,,46505459,,PA449483,,,,,11891,http://www.rxlist.com/cgi/generic/eptifibatide.htm,,Eptifibatide,http://www.drugs.com/cdi/eptifibatide.html,,,,DAP000285
DB00065,Infliximab,170277-31-3,BiotechDrug,,,,46505602,,PA452639,,P01857,IGHG1_HUMAN,J00228,12094,http://www.rxlist.com/cgi/generic3/infliximab.htm,,Infliximab,http://www.drugs.com/cdi/infliximab.html,,,,DAP000107
DB00066,Follitropin,146479-72-3,BiotechDrug,,,,46508818,,PA449693,,P01225,FSHB_HUMAN,M16647,11463; 11457; 22944; 7649,http://www.rxlist.com/cgi/generic3/follitrop.htm,,Follicle-stimulating_hormone,http://www.drugs.com/cdi/follitropin-alfa-powder.html,,,,DAP001028
DB00067,Vasopressin,11000-17-2,SmallMoleculeDrug,C00840,D00101,,46505933,,PA451858,,,,,7387,http://www.rxlist.com/cgi/generic3/vasopressin.htm,,Vasopressin,http://www.drugs.com/mtm/vasopressin.html,,,,DAP000018
DB00068,Interferon beta-1b,145155-23-3,BiotechDrug,C07901,D00746,,46504458,,PA450039,,P01574,IFNB_HUMAN,V00534,172,http://www.rxlist.com/cgi/generic/interferon_beta.htm,,Interferon_beta-1b,http://www.drugs.com/cdi/interferon-beta-1b-solution.html,,,,DAP001283
DB00069,Interferon alfacon-1,118390-30-0,BiotechDrug,,,,46505985,,PA164749376,,,,J00207,11856,http://www.rxlist.com/cgi/generic2/infergen.htm,,Interferon_alfacon-1,http://www.drugs.com/cdi/interferon-alfacon-1.html,,,,DAP001284
DB00070,Hyaluronidase (ovine),488712-31-8,BiotechDrug,,,,46505087,,PA164745713,,P38567,HYAL1_HUMAN,L13781,6039,http://www.rxlist.com/cgi/generic/hylenex.htm,,Hyaluronidase,http://www.drugs.com/cdi/hyaluronidase.html,,,,
DB00071,Insulin Pork,12584-58-6,BiotechDrug,,,,46508925,,PA164781053,,Q8HXV2,INS_PONPY,AY137503,7326,,,,,,,,DAP001089
DB00072,Trastuzumab,180288-69-1,BiotechDrug,,D03257,,46507516,,PA451743,,P01857,IGHG1_HUMAN,J00228,11905,http://www.rxlist.com/cgi/generic/trastuz.htm,,Trastuzumab,http://www.drugs.com/cdi/trastuzumab.html,,,,DAP000391
DB00073,Rituximab,174722-31-7,BiotechDrug,,,,46505820,,PA451261,,P01857,IGHG1_HUMAN,J00228,11982,http://www.rxlist.com/cgi/generic/ritux.htm,,Rituximab,http://www.drugs.com/cdi/rituximab.html,,,,DAP000382
DB00074,Basiliximab,179045-86-4,BiotechDrug,,,,46505169,,PA164747126,,P01857,IGHG1_HUMAN,J00228,12027,http://www.rxlist.com/cgi/generic2/basiliximab.htm,,Basiliximab,http://www.drugs.com/cdi/basiliximab.html,,,,DAP000388
DB00075,Muromonab,140608-64-6,BiotechDrug,,D05092,,46507837,,PA164743097,,,,,7680,,,Muromonab,,,,,DAP001301
DB00076,Digoxin Immune Fab (Ovine),,BiotechDrug,,,,46506432,,PA164769030,,,,,7676,http://www.rxlist.com/cgi/generic3/digoxinfab.htm,,Digoxin_Immune_Fab,http://www.drugs.com/cdi/digoxin-immune-fab.html,,,,
DB00078,Ibritumomab tiuxetan,206181-63-7,BiotechDrug,,,,46506112,,PA164781375,,P01865,GCAM_MOUSE,J00470,12697,http://www.rxlist.com/cgi/generic3/zevalin.htm,,Ibritumomab,http://www.drugs.com/cdi/ibritumomab-tiuxetan-with-indium-111.html,,,,DAP000383
DB00080,Daptomycin,103060-53-3,SmallMoleculeDrug,C12013,D01080,16134395,46504551,600103,PA164768820,,,,,20161,http://www.rxlist.com/cgi/generic3/cubicin.htm,,Daptomycin,http://www.drugs.com/cdi/daptomycin.html,,10482098,,DAP001328
DB00081,Tositumomab,208921-02-2,BiotechDrug,,,,46506662,,PA164748364,,P01857,IGHG1_HUMAN,J00228,16096,http://www.rxlist.com/cgi/generic3/bexxar.htm,,Tositumomab,http://www.drugs.com/cdi/iodine-i-131-tositumomab.html,,,,DAP000384
DB00082,Pegvisomant,218620-50-9,BiotechDrug,,,,46505507,,PA164749630,,P58756,SOMA_PANTR,AF374232,16581,http://www.rxlist.com/cgi/generic3/somavert.htm,,Pegvisomant,http://www.drugs.com/cdi/pegvisomant.html,,,,DAP000286
DB00083,Botulinum toxin type A,93384-43-1,BiotechDrug,C07946,D00783,,46505347,,PA164754825,,P10845,BXA1_CLOBO,X52066,17056; 21616; 21617,http://www.rxlist.com/cgi/generic/botox.htm,,Botox,,,,,DAP001298
DB00085,Pancrelipase,53608-75-6,BiotechDrug,,D05349,,46504728,,PA448428,,P04746,AMYP_HUMAN,M18785,3173; 9754,http://www.rxlist.com/cgi/generic2/pancrel.htm,,Pancrelipase,http://www.drugs.com/cdi/amylase-lipase-protease.html,,,,
DB00086,Streptokinase,9002-01-1,BiotechDrug,,,,46505625,,PA164754919,,P00779,STRP_STREQ,K02986,5991,http://www.rxlist.com/cgi/generic2/streptokinase.htm,,Streptokinase,http://www.drugs.com/cons/streptokinase-intravenous-intracoronary.html,,,,DAP001198
DB00087,Alemtuzumab,216503-57-0,BiotechDrug,,,,46507379,,PA164783958,,,,,12491,http://www.rxlist.com/cgi/generic/campath.htm,,Alemtuzumab,http://www.drugs.com/cdi/alemtuzumab.html,,,,DAP000385
DB00088,Alglucerase,143003-46-7,BiotechDrug,,,,46507500,,PA164748093,,P04062,GLCM_HUMAN,M16328,"",http://www.rxlist.com/cgi/generic3/ceredase.htm,,Alglucerase,http://www.drugs.com/cdi/alglucerase.html,,,,
DB00089,Capromab pendetide,145464-28-4,BiotechDrug,,,,46506263,,PA164745489,,,,,20500,,,Indium_(111In)_capromab_pendetide,,,,,DAP001049
DB00090,Laronidase,210589-09-6,BiotechDrug,,,,46505612,,PA164776670,,P35475,IDUA_HUMAN,M74715,13106,http://www.rxlist.com/cgi/generic3/aldurazyme.htm,,Laronidase,http://www.drugs.com/cdi/laronidase.html,,,,
DB00091,Ciclosporin,59865-13-3,SmallMoleculeDrug,C05086,D00184,5284373,46508198,4031,PA449167,,,,,11396; 1915; 13144,http://www.rxlist.com/cgi/generic/cyclosporine.htm,,Cyclosporine,http://www.drugs.com/cdi/cyclosporine-drops.html,,4447449,50022815,DNC001177
DB00092,Alefacept,222535-22-0,BiotechDrug,,,,46505772,,PA164748040,,,,,12559,http://www.rxlist.com/cgi/generic3/amevive.htm,,Alefacept,http://www.drugs.com/cdi/alefacept.html,,,,DAP000540
DB00094,Urofollitropin,97048-13-0,BiotechDrug,,,,46507385,,PA451835,,P01225,FSHB_HUMAN,M16647,7649; 306,http://www.rxlist.com/cgi/generic3/urofollitropin.htm,,Urofollitropin,http://www.drugs.com/cdi/urofollitropin-purified.html,,,,DAP001029
DB00095,Efalizumab,214745-43-4,BiotechDrug,,,,46505252,,PA164748817,,,,,13093,http://www.rxlist.com/cgi/generic3/raptiva.htm,,Efalizumab,http://www.drugs.com/cdi/efalizumab.html,,,,DAP001095
DB00097,Choriogonadotropin alfa,177073-44-8,BiotechDrug,,,,46506863,,PA164783947,,P01233,CGHB_HUMAN,J00117,12389,http://www.rxlist.com/cgi/generic/ovidrel.htm,,Choriogonadotropin_alfa,http://www.drugs.com/cdi/choriogonadotropin-alfa.html,,,,DAP001030
DB00098,Antithymocyte immunoglobulin (rabbit),308067-60-9,BiotechDrug,,,,46506920,,PA164743704,,,,,12118,,,Anti-thymocyte_globulin,,,,,DAP001300
DB00099,Filgrastim,121181-53-1,BiotechDrug,,D03235,,46505833,,PA449626,,P09919,CSF3_HUMAN,X03438,7657,http://www.rxlist.com/cgi/generic/filgrastim.htm,,Filgrastim,http://www.drugs.com/cdi/filgrastim.html,,,,DAP000113
DB00100,Coagulation Factor IX (Recombinant),181054-95-5,BiotechDrug,C03101,,,46508858,,PA164744952,,P00740,FA9_HUMAN,K02402,90; 11417; 22522,http://www.rxlist.com/cgi/generic2/factorix.htm,,Factor_IX,http://www.drugs.com/cdi/coagulation-factor-ix-injection-human.html,,,,DAP000964
DB00102,Becaplermin,165101-51-9,BiotechDrug,,,,46508246,,PA164749511,,P01127,PDGFB_HUMAN,K01401,11832,http://www.rxlist.com/cgi/generic2/becapler.htm,,Becaplermin,http://www.drugs.com/cdi/becaplermin.html,,,,DAP000028
DB00103,Agalsidase beta,104138-64-9,BiotechDrug,,,,46508538,,PA164746527,,P06280,AGAL_HUMAN,X14448,13296; 13300,http://www.rxlist.com/cgi/generic3/fabrazyme.htm,,Agalsidase_beta,http://www.drugs.com/cdi/agalsidase-beta.html,,,,
DB00104,Octreotide,83150-76-9,SmallMoleculeDrug,C07306,D00442,448601,46504600,,PA450678,,,,,1255,http://www.rxlist.com/cgi/generic/octreotide.htm,,Octreotide,http://www.drugs.com/cdi/octreotide.html,,395352,50272772,DAP000397
DB00105,Interferon alfa-2b,98530-12-2,BiotechDrug,,,,46507075,,PA164783990,,P01563,IFNA2_HUMAN,,1751,http://www.rxlist.com/cgi/generic/introna.htm,,Interferon_alfa-2b,,,,,DAP001285
DB00106,Abarelix,183552-38-7,SmallMoleculeDrug,,D02738,16131215,46508237,337298,PA164754915,,,,,"",http://www.rxlist.com/cgi/generic/plenaxis.htm,,Abarelix,http://www.drugs.com/cdi/abarelix.html,,10482301,50102442,DAP000094
DB00107,Oxytocin,50-56-6,BiotechDrug,C00746,D00089,,46506775,,PA450760,,,,,7375,http://www.rxlist.com/cgi/generic3/oxytocin.htm,,Oxytocin,http://www.drugs.com/cdi/oxytocin.html,,,,DAP001156
DB00108,Natalizumab,189261-10-7,BiotechDrug,,,,46505849,,PA164747191,,,,,12577,http://www.rxlist.com/cgi/generic/tysabri.htm,,Natalizumab,http://www.drugs.com/cdi/natalizumab.html,,,,DAP001094
DB00109,Enfuvirtide,159519-65-0,BiotechDrug,,,,46506067,,PA164744517,,Q70626,ENV_HV1LW,U12055,13031,http://www.rxlist.com/cgi/generic3/fuzeon.htm,,Enfuvirtide,http://www.drugs.com/cdi/enfuvirtide.html,,16743716,50271301,DAP000157
DB00110,Palivizumab,188039-54-5,BiotechDrug,,,,46506637,,PA164748781,,,,,12770,http://www.rxlist.com/cgi/generic2/palivizumab.htm,,Palivizumab,http://www.drugs.com/cdi/palivizumab.html,,,,DAP000386
DB00112,Bevacizumab,216974-75-3,BiotechDrug,,,,46504473,,PA130232992,,,,,16200,http://www.rxlist.com/cgi/generic3/avastin.htm,,Bevacizumab,http://www.drugs.com/cdi/bevacizumab-solution.html,,,,DAP000393
DB00114,Pyridoxal phosphate,54-47-7,SmallMoleculeDrug,C00018,D00006,1051,46506428,18405,PA164749650,PLP,,,,"",,http://www.pdrhealth.com/drug_info/nmdrugprofiles/nutsupdrugs/vit_0215.shtml,Pyridoxal-phosphate,,,1022,50118216,DNC001499
DB00115,Cyanocobalamin,68-19-9,SmallMoleculeDrug,C02823,D00166,70678590,46509031,17439,PA451892,CNC,,,,781; 4821; 4991,http://www.rxlist.com/cgi/generic/b12inj.htm,http://www.pdrhealth.com/drug_info/nmdrugprofiles/nutsupdrugs/vit_0262.shtml,Cyanocobalamin,http://www.drugs.com/cdi/cyanocobalamin-b12.html,,21864832,,
DB00117,Histidine,71-00-1,SmallMoleculeDrug,C00135,D00032,6274,46507001,15971,PA449882,HIS,,,,10237,,http://www.pdrhealth.com/drug_info/nmdrugprofiles/nutsupdrugs/lhi_0137.shtml,L-Histidine,,,6038,7953,
DB00118,Ademetionine,29908-03-0,SmallMoleculeDrug,C00019,,34755,46505280,67040,PA164754994,SAM,,,,"",,http://www.pdrhealth.com/drug_info/nmdrugprofiles/nutsupdrugs/sad_0231.shtml,S-Adenosylmethionine,http://www.drugs.com/cdi/s-adenosylmethionine.html,,31982,28422,
